Reporter Name,Partner Name,Year,Trade Flow,Product Group,Export (US$ Thousand),Export Product Share (%),Revealed comparative advantage,World Growth (%),Country Growth (%)
 World,Aruba,2018,Export,Animal,86425.08,5.88,1,-0.76,-0.76
 World,Afghanistan,2018,Export,Animal,189429.35,2.26,1,,
 World,Angola,2018,Export,Animal,921218.58,6.58,1,4.32,4.32
 World,Anguila,2018,Export,Animal,4062.32,2.81,,,
 World,Albania,2018,Export,Animal,363292.03,3.92,1,0.38,0.38
 World,Andorra,2018,Export,Animal,153880.05,4.96,1,3.55,3.55
 World,United Arab Emirates,2018,Export,Animal,4159990.02,1.71,1,1.81,1.81
 World,Argentina,2018,Export,Animal,328010.26,0.47,1,3.49,3.49
 World,Armenia,2018,Export,Animal,132688.88,2.91,1,0.95,0.95
 World,American Samoa,2018,Export,Animal,39417.33,25.12,,,
 World,Antarctica,2018,Export,Animal,162.32,0.74,,,
 World,Fr. So. Ant. Tr,2018,Export,Animal,888.98,2.2,,,
 World,Antigua and Barbuda,2018,Export,Animal,29708.35,2.26,1,3.45,3.45
 World,Australia,2018,Export,Animal,3117665.22,1.24,1,1.36,1.36
 World,Austria,2018,Export,Animal,3030290.1,1.75,1,2.36,2.36
 World,Azerbaijan,2018,Export,Animal,265277.55,2.06,1,3.85,3.85
 World,Burundi,2018,Export,Animal,2264.41,0.45,1,-19.79,-19.79
 World,Belgium,2018,Export,Animal,8314920.4,2.16,1,2.17,2.17
 World,Benin,2018,Export,Animal,312645.02,4.92,1,5.71,5.71
 World,Bonaire,2018,Export,Animal,4361.3,1.11,,,
 World,Burkina Faso,2018,Export,Animal,97789.04,2.67,1,13.77,13.77
 World,Bangladesh,2018,Export,Animal,578274.52,0.95,,,
 World,Bulgaria,2018,Export,Animal,862871.75,2.31,1,0.92,0.92
 World,Bahrain,2018,Export,Animal,564075.88,2.92,1,5.84,5.84
 World,"Bahamas, The",2018,Export,Animal,141417.25,1.24,,,
 World,Bosnia and Herzegovina,2018,Export,Animal,554409.71,3.35,1,5.71,5.71
 World,Saint Barthélemy,2018,Export,Animal,4287.09,1.87,,,
 World,Belarus,2018,Export,Animal,582968.58,1.38,1,3.33,3.33
 World,Belize,2018,Export,Animal,25328.42,2.67,1,4.54,4.54
 World,Bermuda,2018,Export,Animal,39657.06,2.13,1,2.06,2.06
 World,Bolivia,2018,Export,Animal,47511.05,0.59,1,4.07,4.07
 World,Brazil,2018,Export,Animal,2419847.88,1.12,1,-1.74,-1.74
 World,Barbados,2018,Export,Animal,75202.72,5.61,1,3.98,3.98
 World,Brunei,2018,Export,Animal,98994.09,1.87,1,5.94,5.94
 World,Bhutan,2018,Export,Animal,27521.85,3.34,,,
 World,Bunkers,2018,Export,Animal,219486.26,0.37,,,
 World,Bouvet Island,2018,Export,Animal,8.6,0.05,,,
 World,Botswana,2018,Export,Animal,73230.45,1.08,1,2.47,2.47
 World,Central African Republic,2018,Export,Animal,26967.22,7.43,,,
 World,Canada,2018,Export,Animal,5342591.17,1.08,1,0.46,0.46
 World,Cocos (Keeling) Islands,2018,Export,Animal,60.11,0.75,,,
 World,Switzerland,2018,Export,Animal,3488809.29,0.76,1,2.14,2.14
 World,Chile,2018,Export,Animal,2086782.92,2.6,1,2.45,2.45
 World,China,2018,Export,Animal,33750074.15,1.75,1,11.16,11.16
 World,Cote d'Ivoire,2018,Export,Animal,629576.79,4.79,1,6.38,6.38
 World,Cameroon,2018,Export,Animal,302103.04,3.9,,,
 World,"Congo, Rep.",2018,Export,Animal,303214.77,9.06,,,
 World,Cook Islands,2018,Export,Animal,10575.99,6.27,,,
 World,Colombia,2018,Export,Animal,674574.9,1.23,1,7.52,7.52
 World,Comoros,2018,Export,Animal,48935.65,10.88,,,
 World,Cape Verde,2018,Export,Animal,144484.41,10.38,1,1.28,1.28
 World,Costa Rica,2018,Export,Animal,210763.55,1.41,1,-3.53,-3.53
 World,Cuba,2018,Export,Animal,557844.48,6.47,,,
 World,Curaçao,2018,Export,Animal,88705.71,3.53,,,
 World,Christmas Island,2018,Export,Animal,1654.32,5.19,,,
 World,Cayman Islands,2018,Export,Animal,29851.08,0.36,,,
 World,Cyprus,2018,Export,Animal,330319.12,2.32,1,2.83,2.83
 World,Czech Republic,2018,Export,Animal,2392575.69,1.42,1,2.92,2.92
 World,Germany,2018,Export,Animal,24402950.7,2.06,1,0.55,0.55
 World,Djibouti,2018,Export,Animal,48216.86,0.8,,,
 World,Dominica,2018,Export,Animal,13480.38,3.21,,,
 World,Denmark,2018,Export,Animal,4639071.37,4.51,1,1.72,1.72
 World,Dominican Republic,2018,Export,Animal,742292.13,3.65,,,
 World,Algeria,2018,Export,Animal,2378576.26,3.35,,,
 World,Ecuador,2018,Export,Animal,391992.17,1.64,1,12.67,12.67
 World,"Egypt, Arab Rep.",2018,Export,Animal,2193895.3,2.31,1,9.08,9.08
 World,Eritrea,2018,Export,Animal,6742.54,1.38,,,
 World,Western Sahara,2018,Export,Animal,542.45,3.29,,,
 World,Spain,2018,Export,Animal,11060272.68,3.19,1,2.65,2.65
 World,Estonia,2018,Export,Animal,423906.94,2.04,1,3.13,3.13
 World,Ethiopia(excludes Eritrea),2018,Export,Animal,43422.39,0.36,,,
 World,Finland,2018,Export,Animal,1059831.16,1.4,1,3.88,3.88
 World,Fiji,2018,Export,Animal,136522.74,5.34,1,-8.27,-8.27
 World,Falkland Island,2018,Export,Animal,4912.85,1.93,,,
 World,France,2018,Export,Animal,16618369.85,2.57,1,3.07,3.07
 World,Free Zones,2018,Export,Animal,22300.38,0.5,,,
 World,Faeroe Islands,2018,Export,Animal,86737.41,4.24,,,
 World,"Micronesia, Fed. Sts.",2018,Export,Animal,12397.4,9.17,,,
 World,Gabon,2018,Export,Animal,303155.86,9.61,,,
 World,United Kingdom,2018,Export,Animal,14192212.68,2.18,1,2.86,2.86
 World,Georgia,2018,Export,Animal,355119.93,3.1,1,-0.54,-0.54
 World,Ghana,2018,Export,Animal,840710.48,4.81,1,-0.12,-0.12
 World,Gibraltar,2018,Export,Animal,46723.44,0.27,,,
 World,Guinea,2018,Export,Animal,125537.46,2.21,,,
 World,"Gambia, The",2018,Export,Animal,57345.1,3.86,1,10.62,10.62
 World,Guinea-Bissau,2018,Export,Animal,18599.52,3.64,,,
 World,Equatorial Guinea,2018,Export,Animal,111096.86,7.59,,,
 World,Greece,2018,Export,Animal,2634543.28,4.71,1,2.09,2.09
 World,Grenada,2018,Export,Animal,26452.22,8.94,,,
 World,Greenland,2018,Export,Animal,76536.76,4.97,1,1.49,1.49
 World,Guatemala,2018,Export,Animal,465585.85,2.65,,,
 World,Guam,2018,Export,Animal,28531.83,2.46,,,
 World,Guyana,2018,Export,Animal,53231.29,3.76,1,4.47,4.47
 World,"Hong Kong, China",2018,Export,Animal,12154182.65,1.73,1,1.36,1.36
 World,Heard Island and McDonald Isla,2018,Export,Animal,50.08,8.1,,,
 World,Honduras,2018,Export,Animal,189900.2,1.69,,,
 World,Croatia,2018,Export,Animal,962421.57,3.43,1,3.5,3.5
 World,Haiti,2018,Export,Animal,237303.05,6.64,,,
 World,Hungary,2018,Export,Animal,1675499.28,1.47,1,0.96,0.96
 World,Indonesia,2018,Export,Animal,3007839.26,1.65,1,7.97,7.97
 World,India,2018,Export,Animal,175408.59,0.04,1,16.75,16.75
 World,British Indian Ocean Ter.,2018,Export,Animal,8814.8,23.19,,,
 World,Ireland,2018,Export,Animal,2832649.28,3.2,1,3.84,3.84
 World,"Iran, Islamic Rep.",2018,Export,Animal,943216.55,1.5,,,
 World,Iraq,2018,Export,Animal,2084492.8,4.28,,,
 World,Iceland,2018,Export,Animal,189790.5,1.74,1,9.16,9.16
 World,Israel,2018,Export,Animal,1882342.37,1.93,1,2.07,2.07
 World,Italy,2018,Export,Animal,16814010.11,3.54,1,2.05,2.05
 World,Jamaica,2018,Export,Animal,214624.38,3.84,,,
 World,Jordan,2018,Export,Animal,961954.62,4.06,1,-1.79,-1.79
 World,Japan,2018,Export,Animal,24591825.2,3.74,1,1.45,1.45
 World,Kazakhstan,2018,Export,Animal,756243.55,1.69,1,2.32,2.32
 World,Kenya,2018,Export,Animal,164879.74,0.81,1,2.51,2.51
 World,Kyrgyz Republic,2018,Export,Animal,110500.07,1.05,1,-32.46,-32.46
 World,Cambodia,2018,Export,Animal,288745.41,1.15,,,
 World,Kiribati,2018,Export,Animal,8088.72,7.73,,,
 World,St. Kitts and Nevis,2018,Export,Animal,15950.42,4.21,,,
 World,"Korea, Rep.",2018,Export,Animal,12454791.29,2.56,1,7.12,7.12
 World,Kuwait,2018,Export,Animal,1493034.25,3.68,1,0.32,0.32
 World,Lao PDR,2018,Export,Animal,327314.29,5.02,,,
 World,Lebanon,2018,Export,Animal,1315143.72,4.66,1,7.58,7.58
 World,Liberia,2018,Export,Animal,80817.17,0.76,,,
 World,Libya,2018,Export,Animal,1457101.43,7.97,,,
 World,St. Lucia,2018,Export,Animal,41767.35,2,,,
 World,Sri Lanka,2018,Export,Animal,462489.21,2.12,,,
 World,Lesotho,2018,Export,Animal,80069.08,5.21,,,
 World,Lithuania,2018,Export,Animal,1615593.14,4.9,1,5.84,5.84
 World,Luxembourg,2018,Export,Animal,711956.14,2.65,1,5.41,5.41
 World,Latvia,2018,Export,Animal,549962.56,2.32,1,3.24,3.24
 World,Macao,2018,Export,Animal,780073.98,5.79,,,
 World,Morocco,2018,Export,Animal,1061012.63,1.51,1,8.99,8.99
 World,Moldova,2018,Export,Animal,239833.21,2.6,1,4.65,4.65
 World,Madagascar,2018,Export,Animal,36424.43,0.89,1,-9.51,-9.51
 World,Maldives,2018,Export,Animal,115365.59,5.11,1,5.24,5.24
 World,Mexico,2018,Export,Animal,6356519.65,1.37,1,-0.52,-0.52
 World,Marshall Islands,2018,Export,Animal,9208.9,0.06,,,
 World,North Macedonia,2018,Export,Animal,316088.41,2.15,1,6.94,6.94
 World,Mali,2018,Export,Animal,94879.88,1.87,,,
 World,Malta,2018,Export,Animal,302547.75,1.62,1,5.41,5.41
 World,Myanmar,2018,Export,Animal,403252.43,1.56,1,3.02,3.02
 World,Mongolia,2018,Export,Animal,78848.28,1.37,1,10.37,10.37
 World,Northern Mariana Islands,2018,Export,Animal,5041.48,2.81,,,
 World,Montenegro,2018,Export,Animal,286273.29,6.27,1,3.62,3.62
 World,Mozambique,2018,Export,Animal,198061.69,1.88,1,4.3,4.3
 World,Mauritania,2018,Export,Animal,176456.47,4.44,,,
 World,Montserrat,2018,Export,Animal,578.66,1.82,,,
 World,Mauritius,2018,Export,Animal,503540.58,8.08,1,-5.13,-5.13
 World,Malawi,2018,Export,Animal,22399.91,1.3,,,
 World,Malaysia,2018,Export,Animal,2816570.86,1.24,1,2.03,2.03
